danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,popularity,explicit,id,name,release_date,artists,available_markets,tempo,loudness,duration_min
0.637,0.341,7,0,0.042,0.0536,0.000654,0.125,0.515,0.27,0,6hTlfgh8zGrpJ1ijRXxUGK,Geberiyorum - Nazım Hikmet Ran Günler Şiiri,2017-03-31,['Athena'],0.9873417721518988,3,4,3
0.562,0.77,10,0,0.054000000000000006,0.13699999999999998,0.0,0.0665,0.9540000000000001,0.49,0,6TIqxLdKVLvtUXf5joBdr2,Skalonga,1998-04-15,['Athena'],1.0,3,4,3
0.586,0.669,9,0,0.0368,0.0533,0.139,0.106,0.6829999999999999,0.27,0,2QKNY6toYxtnpxsf9jg2rq,Ses Etme,2014-10-11,['Athena'],0.9873417721518988,2,5,5
0.682,0.8340000000000001,6,0,0.0311,0.0008460000000000001,3.6700000000000004e-05,0.203,0.897,0.26,0,56sEPG7sFPAVAwTiicu4yy,Kime Ne,2005,['Athena'],0.9873417721518988,5,6,4
0.46399999999999997,0.79,7,1,0.0868,0.0563,0.0,0.34700000000000003,0.857,0.23,0,3nennob35sNosI0gsSsfUG,Serseri Mayın,2010,['Athena'],0.9873417721518988,3,3,4
0.502,0.912,1,1,0.0564,2.55e-05,0.000173,0.106,0.72,0.75,0,5ghIJDpPoe3CfHMGu71E6T,Smells Like Teen Spirit,1991-09-26,['Nirvana'],0.0379746835443038,1,6,5
0.5,0.8240000000000001,4,0,0.0388,0.00016,0.00161,0.0916,0.539,0.72,0,4P5KoWXOxwuobLmHXLMobV,Come As You Are,1991-09-26,['Nirvana'],0.0379746835443038,1,5,4
0.256,0.6409999999999999,1,1,0.0552,0.199,0.0329,0.0853,0.382,0.74,0,11LmqTE2naFULdEP94AUBa,Heart-Shaped Box,1993-09-21,['Nirvana'],0.8354430379746836,6,2,5
0.483,0.753,1,0,0.0832,0.425,0.00014199999999999998,0.257,0.42,0.73,0,15VRO9CQwMpbqUYA7e6Hwg,The Man Who Sold The World,1994-01-01,['Nirvana'],1.0,1,3,4
0.6779999999999999,0.6559999999999999,7,1,0.0381,0.0017399999999999998,0.0,0.0631,0.485,0.69,0,2YodwKJnbPyNKe8XXSE9V7,Lithium,1991-09-26,['Nirvana'],0.0379746835443038,1,5,4
0.409,0.932,11,0,0.0339,1.87e-05,1.6e-06,0.31,0.591,0.69,0,55yvzYuvJYG2RUEnMK78tr,About A Girl,2002-10-29,['Nirvana'],1.0,2,6,3
0.573,0.59,3,1,0.0557,0.667,0.000397,0.691,0.364,0.68,0,551qy5vUgrUfEUc4dCNfht,Where Did You Sleep Last Night,1994-01-01,['Nirvana'],1.0,1,3,5
0.446,0.632,1,1,0.034,0.0793,0.000266,0.0881,0.359,0.68,0,1Ic9pKxGSJGM0LKeqf6lGe,All Apologies,1993-09-21,['Nirvana'],1.0,1,1,4
0.541,0.618,1,0,0.179,0.277,4.02e-05,0.413,0.68,0.66,0,4UJmPSJsBsIR1U0N79BU1g,Lake Of Fire,1994-01-01,['Nirvana'],1.0,3,2,3
0.436,0.8759999999999999,10,0,0.0647,3.33e-05,0.000104,0.205,0.512,0.65,0,30HCB1FoE77IfGRyNv4eFq,In Bloom - Nevermind Version,1991-09-26,['Nirvana'],0.0379746835443038,4,6,4
0.765,0.9059999999999999,8,0,0.0965,0.125,0.0,0.423,0.95,0.8,1,0U6bQIAh6MCGo1xjbIIx2S,Instagram,2019-07-05,"['Dimitri Vegas & Like Mike', 'David Guetta', 'Daddy Yankee', 'Afro Bros', 'Natti Natasha', 'Dimitri Vegas', 'Like Mike']",1.0,1,6,3
0.604,0.787,0,0,0.10300000000000001,0.0679,0.15,0.127,0.301,0.66,0,0lHAMNU8RGiIObScrsRgmP,Titanium (feat. Sia),2011-08-26,['David Guetta'],0.02531645569620253,4,5,4
0.703,0.66,10,0,0.12300000000000001,0.13699999999999998,0.0,0.192,0.79,0.66,0,3MoV1UsAJmz64LHqyiRMp0,Say My Name,2018-09-14,"['David Guetta', 'Bebe Rexha', 'J Balvin']",0.0379746835443038,1,3,3
0.647,0.795,1,0,0.0372,0.0635,0.0,0.188,0.409,0.76,0,4Tvw0lweq9l2JPQKFbpbBQ,Better When You're Gone,2019-02-08,"['David Guetta', 'Brooks', 'Loote']",1.0,4,5,3
